email,dépenses
clouis@dbmail.com,98.98
llemaire@dbmail.com,70.35
paubry@laposte.net,82.2
nlevy@ifrance.com,149.12
setienne@tele2.fr,13.89
cmoreau@free.fr,20.48
rlefort@laposte.net,102.05
hlenoir@tele2.fr,43.91
mleclerc@bouygtel.fr,143.65
alaine@bouygtel.fr,65.36
calexandre@noos.fr,134.66
xtexier@bouygtel.fr,56.58
cblot@tele2.fr,115.59
echauvet@noos.fr,84.32
lmallet@voila.fr,105.51
lbriand@live.com,66.55
xgirard@orange.fr,139.17
slopes@wanadoo.fr,137.57
dlefort@dbmail.com,109.25
zhernandez@noos.fr,3.58
cclerc@wanadoo.fr,94.24
fjoseph@dbmail.com,20.33
ptraore@ifrance.com,18.5
hgaudin@sfr.fr,135.03
gperon@tiscali.fr,108.36
dgomes@sfr.fr,132.32
mdubois@live.com,112.79
acosta@tele2.fr,137.26
agallet@tele2.fr,9.3
agerard@wanadoo.fr,9.29
lblanc@free.fr,135.08
praynaud@yahoo.fr,100.58
aroche@wanadoo.fr,142.95
ifouquet@orange.fr,93.32
drey@sfr.fr,122.01
llanglois@club-internet.fr,34.62
ballain@club-internet.fr,83.52
jpasquier@live.com,73.75
acharrier@laposte.net,143.09
jlegendre@wanadoo.fr,71.64
pthierry@tele2.fr,141.84
vcoste@live.com,23.11
mpages@dbmail.com,123.82
cvincent@ifrance.com,45.93
jtorres@voila.fr,91.89
nmerle@dbmail.com,67.66
vcouturier@voila.fr,65.77
plegrand@hotmail.fr,92.99
mcousin@orange.fr,70.28
zpaul@yahoo.fr,6.65
ctecher@bouygtel.fr,97.93
lrodriguez@tiscali.fr,67.29
cgregoire@tiscali.fr,133.27
mfaivre@dbmail.com,65.9
amartins@ifrance.com,75.98
pbuisson@live.com,140.04
rregnier@free.fr,102.01
ngautier@bouygtel.fr,92.29
tmeyer@gmail.com,4.79
srolland@ifrance.com,98.16
mmartinez@noos.fr,57.46
cguyon@yahoo.fr,2.92
abernier@free.fr,55.01
clombard@tiscali.fr,85.46
alaine@dbmail.com,128.61
shuet@noos.fr,4.51
vletellier@dbmail.com,104.7
evaillant@club-internet.fr,9.44
pvasseur@club-internet.fr,127.94
dchauvet@free.fr,130.44
dmunoz@noos.fr,47.13
lgarcia@wanadoo.fr,149.93
xcordier@dbmail.com,121.76
nmasse@laposte.net,124.44
anormand@yahoo.fr,4.03
mdiaz@live.com,132.18
ddidier@free.fr,71.75
bmahe@voila.fr,23.42
ntorres@laposte.net,61.04
adupuy@laposte.net,73.85
clegendre@gmail.com,92.87
jdupont@laposte.net,144.92
ppereira@tiscali.fr,40.58
mnormand@bouygtel.fr,4.8
jpires@live.com,75.59
epereira@gmail.com,70.73
dtexier@gmail.com,28.57
cmarion@sfr.fr,23.28
fchretien@ifrance.com,102.73
croche@voila.fr,143.25
tbonnin@ifrance.com,17.31
jcoste@sfr.fr,23.15
mguilbert@yahoo.fr,42.98
cloiseau@club-internet.fr,63.09
ehamon@sfr.fr,61.83
ddelaunay@tele2.fr,100.82
cmarin@wanadoo.fr,82.78
tmarie@yahoo.fr,148.35
mda silva@yahoo.fr,91.46
jcharrier@tele2.fr,24.77
clecoq@live.com,10.96
cguyon@orange.fr,12.06
ctexier@noos.fr,130.28
lguerin@tiscali.fr,46.36
nrocher@live.com,66.88
npires@dbmail.com,89.47
eperrier@sfr.fr,17.53
ddiallo@wanadoo.fr,149.12
rantoine@hotmail.fr,110.43
jlemaire@club-internet.fr,88.95
cleclerc@bouygtel.fr,86.21
lcarre@orange.fr,143.19
mpetit@noos.fr,121.26
ochauvin@sfr.fr,18.39
nroy@gmail.com,19.54
arobert@sfr.fr,10.04
dclerc@orange.fr,111.48
nbaudry@yahoo.fr,22.21
psanchez@laposte.net,108.79
oleclerc@free.fr,99.43
alesage@tele2.fr,143.14
vjoly@dbmail.com,58.29
operrin@gmail.com,13.28
eguilbert@club-internet.fr,49.74
acolas@wanadoo.fr,73.69
jbouvet@bouygtel.fr,94.86
cguyot@yahoo.fr,140.78
bthomas@live.com,48.69
